analysis_timestamp,lad19cd,ex_prob
2020-07-13T09:28:36Z,E08000029,0.183
2020-07-13T09:28:36Z,E08000030,0.362
2020-07-13T09:28:36Z,E08000031,0.324
2020-07-13T09:28:36Z,E08000032,0.277
2020-07-13T09:28:36Z,E08000033,0.132
2020-07-13T09:28:36Z,E08000034,0.171
2020-07-13T09:28:36Z,E08000035,0.331
2020-07-13T09:28:36Z,E08000036,0.351
2020-07-13T09:28:36Z,E08000037,0.506
2020-07-13T09:28:36Z,"E09000001,E09000033",0.046
2020-07-13T09:28:36Z,E09000002,0.235
2020-07-13T09:28:36Z,E09000003,0.302
2020-07-13T09:28:36Z,E09000004,0.225
2020-07-13T09:28:36Z,E09000005,0.314
2020-07-13T09:28:36Z,E09000006,0.3
2020-07-13T09:28:36Z,E09000007,0.034
2020-07-13T09:28:36Z,E09000008,0.321
2020-07-13T09:28:36Z,E09000009,0.363
2020-07-13T09:28:36Z,E09000010,0.275
2020-07-13T09:28:36Z,E09000011,0.208
2020-07-13T09:28:36Z,E09000012,0.123
2020-07-13T09:28:36Z,E09000013,0.165
2020-07-13T09:28:36Z,E09000014,0.193
2020-07-13T09:28:36Z,E09000015,0.342
2020-07-13T09:28:36Z,E09000016,0.286
2020-07-13T09:28:36Z,E09000017,0.174
2020-07-13T09:28:36Z,E09000018,0.277
2020-07-13T09:28:36Z,E09000019,0.018
2020-07-13T09:28:36Z,E09000020,0.096
2020-07-13T09:28:36Z,E09000021,0.293
2020-07-13T09:28:36Z,E09000022,0.226
2020-07-13T09:28:36Z,E09000023,0.24
2020-07-13T09:28:36Z,E09000024,0.356
2020-07-13T09:28:36Z,E09000025,0.179
2020-07-13T09:28:36Z,E09000026,0.215
2020-07-13T09:28:36Z,E09000027,0.127
2020-07-13T09:28:36Z,E09000028,0.222
2020-07-13T09:28:36Z,E09000029,0.383
2020-07-13T09:28:36Z,E09000030,0.041
2020-07-13T09:28:36Z,E09000031,0.335
2020-07-13T09:28:36Z,E09000032,0.198
